,reduction,size,delta,run,PHAT_time
0,original,1179,0.0,757ff239da1543e2b4143d2da2075e24,0.16133730999990803
1,original,1179,0.0,f24e119dd8994df0852bfd0f2f813e9f,0.17350599099972897
2,original,1179,0.0,3b206792c92f48608053f32749b9b666,0.15945611799998005
3,original,1179,0.0,bc3d79fceaaf40e2b39da56a5702cce3,0.16094159700060118
4,original,1179,0.0,8fac93699b2446398c05af232c18763b,0.1601110540004811
5,original,1179,0.0,c3c7446b54264e6688ac097fa432b699,0.16480246699939016
6,original,1179,0.0,c7297daacf4c4a44afc20f58d3799931,0.16233634799937136
7,original,1179,0.0,d718f87416114c5d82fda823d78aed2e,0.1609715740005413
8,original,1179,0.0,13f3fcccc2574244a5b0eeff401c940e,0.15996006299974397
9,original,1179,0.0,fceb32f0e4c84eca96f3ed35ec7305e0,0.1597071270007291
10,original,1179,0.0,cfa8660d68054b968ffc8395b18835b0,0.16009956100060663
11,original,1179,0.0,d7014316b17b4109aa5ac3c9dd2cfff7,0.16014240900040022
12,original,1179,0.0,b756866b52cd4d1b9331ed44b6f26058,0.1615075789995899
13,original,1179,0.0,1b24b15813ad4c1a900881294ff85dae,0.1602626510002665
14,original,1179,0.0,f04423ef214949ee8452a14a865909f0,0.16026316600073187
15,original,1179,0.0,df2e6100dfe742599234fb7111e2ae98,0.15993766500014317
16,original,1179,0.0,5b2a35cff48744ea8b0137b05322a965,0.1617573839994293
17,original,1179,0.0,6e5abe52e31a496caa99bb462d86149f,0.17340675400009786
18,original,1179,0.0,447aa86c091c4321bf2502fb2d969250,0.16354847399998107
19,original,1179,0.0,50eef8e6921f44c69e46e6e949ca13f4,0.16063125200071227
20,exact_morse,751,0.0,f4499c0140de4338ae7b46749133e2f6,0.10271110099984071
21,exact_morse,751,0.0,b5f5fa838c3a49c0b0975a4d49dcf1ee,0.10240513799999462
22,exact_morse,751,0.0,cb4d1bc37177494ebfeb7e274b628e1e,0.10257809599988832
23,exact_morse,751,0.0,e029d2c35d3e4d2ea361b50e54ed4d63,0.10273277800024516
24,exact_morse,751,0.0,2dacddc4c2f646fcac02150c9b707ee9,0.10599286700016819
25,exact_morse,751,0.0,908bd71b237a4a8f8ad0d597512b96b4,0.10227996800040273
26,exact_morse,751,0.0,09b0e7cd0f3b4ffbb3d7d557b8ae3c4a,0.10239309999997204
27,exact_morse,751,0.0,8a98976509a345e996001178593c6485,0.10391157499998371
28,exact_morse,751,0.0,87a83c7122394acca7b2927a4026ab76,0.10331869600031496
29,exact_morse,751,0.0,b823138e6336466f8f497aa35e10ecd6,0.10714201100017817
30,exact_morse,751,0.0,aca6fc2544d54f5cb1fe8ac1a944fcd4,0.10281122700052947
31,exact_morse,751,0.0,d3fcf4cae84a4f98b8d8bc251eb2d793,0.13878145400030917
32,exact_morse,751,0.0,879d597c7aae42a3bc1cf9e567ea96aa,0.14635218499915936
33,exact_morse,751,0.0,c4623db6e43c4f45b610cde3ca6b20ba,0.11187431700000161
34,exact_morse,751,0.0,edb100ec3ea14134aa35052832717f99,0.10516793300030258
35,exact_morse,751,0.0,782c3ab8264246beb3542796ab909e1e,0.10275613500016334
36,exact_morse,751,0.0,d28218f2972f408f807040c2015fb9f1,0.1034520920002251
37,exact_morse,751,0.0,585cb0fb6fa943009bea0971488b1a8a,0.10952541500046209
38,exact_morse,751,0.0,4d60cc3c39b64649add424f16edbee2b,0.10960986299960496
39,exact_morse,751,0.0,fc886c3ca7b94000902b0c094865de46,0.10250084600011178
40,binning,635,0.002,fd9c3f2a90a747aeb64b6018f9198519,0.08724002799954178
41,binning,635,0.002,67eb906983bd4df8b3bf3a88af19f98d,0.08777470099994389
42,binning,635,0.002,4779ac6610b749a38a67ae3455b1aeaf,0.08733741900050518
43,binning,635,0.002,e4447ec06a8446e3bda4beb44965ef03,0.08725248399969132
44,binning,635,0.002,badeaf0397124bac931fb1f39d634103,0.08803507700031332
45,binning,635,0.002,91886760c5fe4bb7b53bbbe935f5fa78,0.08697189200029243
46,binning,635,0.002,299a0baca7584eb9aeb71e5f5a912662,0.08699181599968142
47,binning,635,0.002,4cefbd1df4e94baab449b26cc1236678,0.08711368300009781
48,binning,635,0.002,08b26ae4154646c69f5226ca3a842f0f,0.08727501400062465
49,binning,635,0.002,5c3f7b2775b74f22863c865ae1425a69,0.08683990000008635
50,binning,635,0.002,5679fc93ceba4187b6277ad7bbdd07ca,0.08794681600011245
51,binning,635,0.002,b8311b7331384015af8dcd9da23d584b,0.08764530299959006
52,binning,635,0.002,0858d7dcdcfb48e7a8985dcf4bf8b9dc,0.08812616399973194
53,binning,635,0.002,2b8dd4a735774ef08abb58d694f72a8a,0.08699175200035825
54,binning,635,0.002,927e67a604934556b04359aa1d9da25d,0.08776216000023851
55,binning,635,0.002,3e89c7026c724063896a36d13cd30b2d,0.08672403299988218
56,binning,635,0.002,d2fa068409534e70a08876aa86ab8481,0.0863832459999685
57,binning,635,0.002,412b0be7d46e45a386eff76a2f62994e,0.08694078700045793
58,binning,635,0.002,5ce00614bcc3421a8e66605ad1c52758,0.08850673699998879
59,binning,635,0.002,20c497b7d3964ce4b515df23f1108fec,0.08719651100000192
60,binning,577,0.005,ec9467de3eb54396b652eb1d053c1ba1,0.07901054299964017
61,binning,577,0.005,983f61ba318d4aeb8bbbff8dfcaddb97,0.07910353300030692
62,binning,577,0.005,c230b399b5ce4e0f896be624c77b399d,0.07928321200051869
63,binning,577,0.005,22afca68653d43e791457119fca3fb4b,0.07961959200019919
64,binning,577,0.005,2cb1541566d3430db5a0554099dc05b0,0.07942650899985892
65,binning,577,0.005,a3c60213554b41439575fdf728fcd481,0.0791689169991514
66,binning,577,0.005,20df656834414b6c8b85605d6a601508,0.07921590600017225
67,binning,577,0.005,51e4264d616a48e6ab78692c1ef7ae9d,0.07929884599980142
68,binning,577,0.005,4b0c3c442675417c98e15380564d04be,0.08020749999923282
69,binning,577,0.005,ecbcfe6f48c4407b9f231841c27eac5f,0.07927386999926966
70,binning,577,0.005,0b3fab71260248a48c0c6a8ce6556f98,0.0796392950005611
71,binning,577,0.005,f1e5e2be1a3d4f279c33720f14f94448,0.07960257400009141
72,binning,577,0.005,417992943b3242b084cc6cb71422f7ed,0.07947552899986476
73,binning,577,0.005,40d96d44b4714fef955ab12363934f9d,0.07942400599949906
74,binning,577,0.005,6fd394dfc9fd4ad493c1ddabe039386a,0.07908186000076967
75,binning,577,0.005,26911b0392b645809de58fd7bb096f44,0.07930084200052079
76,binning,577,0.005,202c6ac8215942eab9f6dc64fdb2bf63,0.07920409899998049
77,binning,577,0.005,9626c60ce666418aafb61bac1c791fd0,0.0793378569997003
78,binning,577,0.005,5ff752a11b9a4b93b2ce4804e75c7ab2,0.07909226399988256
79,binning,577,0.005,e7dbaf4ad4b34a389b494ffd54b63f23,0.07937619800031825
80,binning,533,0.01,035bade1f29a4d43a83b4bcc11767bff,0.07339158800004952
81,binning,533,0.01,e308aa29050444e4adf8864b9662da0b,0.07402696700046363
82,binning,533,0.01,07ea03b017244cc080d5c812358012de,0.07310814299944468
83,binning,533,0.01,3cd5c31e7afb49cba3d7823d29b56ed9,0.07338225100011186
84,binning,533,0.01,38caf2ea6db94ab1b7472ab42804cbb5,0.0733899120004935
85,binning,533,0.01,37a612a75f344846911e59a4706aea05,0.07338133900066168
86,binning,533,0.01,9d6eea8d64d44bef86aabff173c4f71a,0.07455314199978602
87,binning,533,0.01,5bc51f71320547e789670c7b27fd8f1e,0.07405091700002231
88,binning,533,0.01,054c45abf3244aca8505cc8464cb1bc9,0.0747423089997028
89,binning,533,0.01,0c7a1f37f6434c07aadcc0b5bc72049f,0.09002151799995772
90,binning,533,0.01,2a98dc5cd5084a76b13bb22baa88eeaa,0.10804076600015833
91,binning,533,0.01,fcf5f2dc44404b66ac808011ea3283d5,0.09396358699996199
92,binning,533,0.01,9b9e52b88e49493f9dfbf624ecc04d9f,0.07789060400045855
93,binning,533,0.01,91803f0479454dc5bdb5314c9968ff15,0.07846048700048414
94,binning,533,0.01,6da39568987048fc9adf46d1e2a99726,0.07652989199959848
95,binning,533,0.01,bc54e38e2b674714ac99f7d8f425649e,0.07433620700066967
96,binning,533,0.01,5b7e513f4794419ebe6792a7ae743382,0.07693692100019689
97,binning,533,0.01,42a815c5a9754997a852ff534aee7a8b,0.07429982499979815
98,binning,533,0.01,43c4fc7779fb45ec968aca52e90570aa,0.08303577700007736
99,binning,533,0.01,2b447da33fa04903b536da3c326677d4,0.1054596069998297
100,binning,457,0.02,fff3e552dddc42f09ecaeac195bfe524,0.06323661300029926
101,binning,457,0.02,5377219107a948e4965c33ea64a022de,0.06609086000025854
102,binning,457,0.02,768e5db20d084413b1d0daf26142c8c7,0.06325051100066048
103,binning,457,0.02,63a34bb558804ad78c3ec35c8fbf9eaa,0.06323472100029903
104,binning,457,0.02,89ed8abb1e6e453b9443cbd17137899c,0.06361993599966809
105,binning,457,0.02,234a5f90c61142d49e7da280310338b3,0.0631902879995323
106,binning,457,0.02,2662e83856c3417bb076ac1a15cb28fb,0.06310081900028308
107,binning,457,0.02,8e79b07747084fdf8d0d85e7911045a0,0.0633692429992152
108,binning,457,0.02,eabc5cf896aa458da4b2e6a2a01d17ec,0.06307418799951847
109,binning,457,0.02,c6e2b6c63a9545c9bc4f9c22196216b9,0.0634682169993539
110,binning,457,0.02,dd770e0d927841868f989802c00be594,0.06338736099951348
111,binning,457,0.02,a571ffaddd02497cb0bc5a0567cb58cf,0.0639899770003467
112,binning,457,0.02,c609b3bd8dc3498ca36cc3ada3d4be8a,0.06310309099990263
113,binning,457,0.02,eea6ecf9fbbe4143910c08e8a5139408,0.06321935399955692
114,binning,457,0.02,f40c766d20f04cac81d862cb3c699037,0.0634997220004152
115,binning,457,0.02,2ee293f40b174c179d690ddbdcc65d37,0.06356035600038012
116,binning,457,0.02,a2518f4185c947b987b8224e8fa3c16b,0.06349254099950485
117,binning,457,0.02,ba35f342d3bf4c8b926eba2d6ec02976,0.06402996099950542
118,binning,457,0.02,04d750b67d1c454895f2086b1d6a9daa,0.06317442499948811
119,binning,457,0.02,1f4e5e23d5a9415f888b189895f539e7,0.06371493700044084
120,binning,375,0.03,8cd88d11c801480e83af6317321bbea7,0.05240066599981219
121,binning,375,0.03,98e92cdd2f4d46a28d3e2c8e79a25dab,0.05198836100043991
122,binning,375,0.03,b0d6507bd1b64be697117565e8aa8107,0.0520850769999015
123,binning,375,0.03,9304374ccc614b4f9fc8e4a1354562a1,0.05418356700010918
124,binning,375,0.03,231915d99c0b467bb1e2b8b26946bddc,0.05558143700000073
125,binning,375,0.03,eb818a6be6e54b559a61a91896cb85f5,0.051958643999569176
126,binning,375,0.03,9b3c3f841f7843989791aea3221f9d67,0.051900420000492886
127,binning,375,0.03,92a41f664260421faa6a8df4cfd5dbb3,0.05203991899998073
128,binning,375,0.03,6d2e65037e02412293979bc9f1c6ca2b,0.05183639200004109
129,binning,375,0.03,9f9fe9861126495a808cf22ae45878c5,0.05224567400000524
130,binning,375,0.03,b4976150bf30430f85feb68809707810,0.052000580999447266
131,binning,375,0.03,f7ab0f00fc7249aa8a416ca599ef12f7,0.052285884999946575
132,binning,375,0.03,9a2baa48581843738386ca861a939e32,0.05218645500008279
133,binning,375,0.03,94ecaf275ca4493b824931c15d6dfde6,0.05205168800057436
134,binning,375,0.03,6ac137f8318747d9b9d1f664da64a643,0.05180470600043918
135,binning,375,0.03,a7aaee0ec84e4514bc4f9c5c89bee076,0.05233795599997393
136,binning,375,0.03,49c7dd77e8234ad5a2c0fb7806c83c2d,0.05187438299981295
137,binning,375,0.03,d429caa6e6fd4bbb9a20e7e2dfb489b4,0.05212688700066792
138,binning,375,0.03,aa64612a27c244ed9a2c55a2082b5908,0.05267318899950624
139,binning,375,0.03,80d49a570ea5419b992c1da40a569ef0,0.052202280000528845
140,binning,287,0.04,999692ed15354057b295a74e53e2d835,0.04040972100028739
141,binning,287,0.04,2158de9987864221a2bcd75a24fd42c6,0.041029373000128544
142,binning,287,0.04,d42d9e846a27411fbb950439ba8c060f,0.040445637000630086
143,binning,287,0.04,2e2ddd478770442494342120bf4391ba,0.040008914999816625
144,binning,287,0.04,97bdccd5f3a045a492ec1f48fef1a5cc,0.04014507100055198
145,binning,287,0.04,972686e158234dceafc7492b337e3401,0.040168804000131786
146,binning,287,0.04,ff214f03330c49feb53ba6103aef9215,0.04054411099969002
147,binning,287,0.04,4367f839487e49be8378bf6432d35bab,0.040060215999801585
148,binning,287,0.04,a77fb52896ae4bb49a950bb5e429704e,0.03999112699966645
149,binning,287,0.04,19152e55996847f19d80473dbb91ca56,0.04005171100016014
150,binning,287,0.04,1dccd92cb0554fe7b1f1b107c5dacab5,0.040030387999649975
151,binning,287,0.04,30b14260a35a432088ff4b9c6fec0de8,0.039956449999408505
152,binning,287,0.04,ce4a1a11ce9b4294983275b6307a3f5e,0.039959788000487606
153,binning,287,0.04,39a3e1843fb5476896d9940484f8ced3,0.039931758000420814
154,binning,287,0.04,b314caf64d324fbe9cd8a3a2e8546d13,0.04017525099970953
155,binning,287,0.04,437018614cfa421f925a19b7cf2617f3,0.040244606999294774
156,binning,287,0.04,317c71cfd51045219ee140d06d4d7c14,0.040373149000515696
157,binning,287,0.04,926d80f42ba645f1a90011745cdc20df,0.04035709200070414
158,binning,287,0.04,e2d2206f31ef48da80e1edfc6c871208,0.040147683000213874
159,binning,287,0.04,2bca7c59a5674a429fbafc2e12fffbf1,0.039987553999708325
160,binning,233,0.05,dd98eee897fc4f08909efad455c5ce69,0.03295784300007654
161,binning,233,0.05,448678b282084bcc900c65e77f4a20c0,0.03280153500054439
162,binning,233,0.05,21c84452a37f4dbd8f3479c7ff16f4fa,0.03280505600014294
163,binning,233,0.05,0be3f80f241d4f56809ea4539525a926,0.032939964000433974
164,binning,233,0.05,b500fd8b48df43e3979e574726b3b459,0.0329312719995869
165,binning,233,0.05,961aff5cb02047b38dc6761621d34782,0.03278283500003454
166,binning,233,0.05,874ed0d762024359b3dd228b87451fc9,0.032883128999856126
167,binning,233,0.05,2834c8f05a65480a8b5d8e157fcbcc9f,0.03304055300031905
168,binning,233,0.05,8b282dd0d4404ad280779f528df0ae66,0.03316007100056595
169,binning,233,0.05,f2a45fdee9fc4279b4d5047bdd43b4f8,0.033040997000171046
170,binning,233,0.05,27e71a00c9b34f4a8d31a783042045fb,0.032760447000327986
171,binning,233,0.05,0c566089e84a441886c37ffc4749e8f4,0.032715391000238014
172,binning,233,0.05,edf331f9cfd349ecb2b2078609f16a13,0.0329426180005612
173,binning,233,0.05,65e6afdd2fdf446f98b2b6c667e6ab4c,0.03279480800028978
174,binning,233,0.05,329965034b4d427eb2be4f8792c60af1,0.0337039209998693
175,binning,233,0.05,25667521725c4ba59f31713f68f704be,0.033306841000012355
176,binning,233,0.05,cde70ccc68414f59ae237c9b5b0b46c7,0.032843680000041786
177,binning,233,0.05,7116be9d139848f19ebd24dfc89118c9,0.032624493000184884
178,binning,233,0.05,49a00676d2214eaca7dce4711f0caf02,0.032852473000275495
179,binning,233,0.05,2b383d5fc4344570920001e2f5cd2fa4,0.03282478299934155
180,binning,93,0.1,4a7e637841a341b1ac4c27b5d4dac785,0.014248899999984133
181,binning,93,0.1,877236cffda24dba8bced14f7dd919b0,0.014151287000458979
182,binning,93,0.1,a1305cf30e7b4d09bc3d652628618d4d,0.014200192000316747
183,binning,93,0.1,224e45c981684857a99f2d1507e991ea,0.014059064000321086
184,binning,93,0.1,10a3a6bd6ef240469ed15fe4018445f6,0.014110709999840765
185,binning,93,0.1,90295eb8fd8147bd9408e943e0778292,0.014068024000152946
186,binning,93,0.1,52249267ecab44c2ad45bbbbe44d8d86,0.014100681999480003
187,binning,93,0.1,4d1a0738016e4bfe9d8a92fe2014956c,0.014316113999484514
188,binning,93,0.1,42581627de6f49d0b3a34e80d0752eae,0.01398362000054476
189,binning,93,0.1,c142b232c2ce4c2a91f5850aa8eb5c78,0.014094092000050296
190,binning,93,0.1,6fbc1a96606547a2bf445c2aae848a11,0.014105721000305493
191,binning,93,0.1,9be0d8200674439181547d1097e498ce,0.014069760999518621
192,binning,93,0.1,1e129b17b0494eff94f9af30eedf3e9b,0.01426910800000769
193,binning,93,0.1,aab3d591695b4d9393258a6859dd3eee,0.013986668999677931
194,binning,93,0.1,b5e3080cb25d4810aa63cb150cbed4a6,0.014059924000321189
195,binning,93,0.1,c08743b1b6724c8faa115cab13fa8a06,0.014084239999647252
196,binning,93,0.1,178a422f84b34d44ad97b19e18371d8f,0.014269191000494175
197,binning,93,0.1,286e767f20d14f9498e321e1af1c06a4,0.014147920000141312
198,binning,93,0.1,271fd17b720f44a9af632a7109ee347d,0.01406107399998291
199,binning,93,0.1,70a84a249c12435192a17f0bad441a8e,0.014101894999839715
200,binning,19,0.2,e5472b91856e44a2ae2b11257468549d,0.004096455999388127
201,binning,19,0.2,ab469852a4cb405bbbeef34532aa52ca,0.004023077000056219
202,binning,19,0.2,aa54e6e556e54750b8fd83e312f484c9,0.004027166000014404
203,binning,19,0.2,19b09bd8af6c4c3880f6b2c127cf4f2a,0.004032473999359354
204,binning,19,0.2,de823e00cd8b4379a7b4cacb01e94d88,0.004072194999935164
205,binning,19,0.2,e350407350f749b08aad493ff13216ef,0.00395160100015346
206,binning,19,0.2,d0f4be57bbe14356807e8679dd2d4c5d,0.003981898999882105
207,binning,19,0.2,0dcb6164c7af4815a0a63139aa506ca8,0.004518079000263242
208,binning,19,0.2,1e26ff57b5d14341974803038a619c9f,0.004075014000591182
209,binning,19,0.2,d32a2ccfb581466cb4b7d0c395886b08,0.004045154999403167
210,binning,19,0.2,aa922e981a644ef48d8542c929349a24,0.004016488000161189
211,binning,19,0.2,8a686fe5e0474e8b994ab23d5a0114c0,0.004010193999420153
212,binning,19,0.2,5a4076ba03ee477d870dab3fc376ff69,0.004063451999172685
213,binning,19,0.2,9f46ce4ef074429bb56c89d53e076947,0.004006107999884989
214,binning,19,0.2,69fa48f9d5104324b9ba3c5e855ec150,0.004038353999931132
215,binning,19,0.2,69821e7e30914ac89040188be1eeb13a,0.004011942999568419
216,binning,19,0.2,70661ec51c664c1a8d84cc34b16111b0,0.006591293000383303
217,binning,19,0.2,dea8980c9a2942d7ae104b2c7345c8d6,0.0040171889995690435
218,binning,19,0.2,1e6076a6a5d945c297480f145d1e5912,0.004737530000056722
219,binning,19,0.2,53d0980e89014b96aa9d75791bf47eba,0.004088559000592795
220,induced,589,0.002,63d55a2bbb214cac8146ef26bbf0a253,0.08157686300000933
221,induced,589,0.002,92a0c01071ed4a3c9fcf14abf85035f8,0.08181703199988988
222,induced,589,0.002,1ef33e81b1134b5aaac7beb54ec16ebc,0.08077341199987131
223,induced,589,0.002,ac68c13886f743c9916e234a437d27b3,0.08132174699949246
224,induced,589,0.002,eb3dc5f2c4064946b5e01cfc901c5fab,0.08069577300011588
225,induced,589,0.002,802ad03a66534603954dcf15ee1a758c,0.08120012900053553
226,induced,589,0.002,536fa6ac40024781a855bda4aa8be26b,0.08515824200003408
227,induced,589,0.002,fa258994267847179446dc7bf28dbdb4,0.0812812459998895
228,induced,589,0.002,8eac3496d2ee496c96bad9daf319eecd,0.0811716329999399
229,induced,589,0.002,50f3b8e8bc3848548be9690de179f7b8,0.08103526699960639
230,induced,589,0.002,a99adc54fc644a2aafedbacbd0a3917d,0.08187652200012963
231,induced,589,0.002,25a94c7e332d40279724e7ee29066e16,0.08189302099981433
232,induced,589,0.002,b1d6bfd382b6458a8999a32fc6d2dc01,0.081233771999905
233,induced,589,0.002,960b96bbc82c4582bc70e5da9b8754b6,0.0830202150000332
234,induced,589,0.002,1da926a832ec4da9b9a0e939fc11d50d,0.08563629299987952
235,induced,589,0.002,7d497b78f65f4e51afc66fb691c7af98,0.08076334700035659
236,induced,589,0.002,67f53488730c4ed8a2ecf14dcfa6afed,0.08082754000042769
237,induced,589,0.002,c0501466f94f4a88924856c14f286736,0.08078329099953407
238,induced,589,0.002,c8737dfb56744a32a0cb399343b8bfba,0.081698616999347
239,induced,589,0.002,5d1ae450d36d4b06bb3ecba4497ff00e,0.08140800500041223
240,induced,537,0.005,d29d7cd8dadf43e2b32f10a1d31049fc,0.07375654899988149
241,induced,537,0.005,7f5a492eb9d340598900ba90a789b7bd,0.07356193400028133
242,induced,537,0.005,98e2596be54f4d7fabf7891ebd43c353,0.07362290099990787
243,induced,537,0.005,002502f1d5d644fb8a3792b05051ba49,0.07424132699998154
244,induced,537,0.005,eae18645c7e945e1ac3eec8a4c6174c8,0.0738676970004235
245,induced,537,0.005,51e5fc00795341f282f2291ba2f31a78,0.07406410099974892
246,induced,537,0.005,50d653bb83804e97ab5894df2ea5042d,0.07439129500016861
247,induced,537,0.005,df3cd40bb4554688be25e8c5399cdd4b,0.07383636299982754
248,induced,537,0.005,6b833967379543b2aa78d518d759f83d,0.07442002599964326
249,induced,537,0.005,c0f5eb953b6e4efd9d2617bf5f862944,0.07394604900036938
250,induced,537,0.005,128a78739c9c482dbf52f5485294f3ff,0.07405488599943055
251,induced,537,0.005,75e991b6a56f4bc19c87671738f62ecb,0.07417645399982575
252,induced,537,0.005,b994a227bd134879b06f982626184eba,0.07457690400042338
253,induced,537,0.005,f4d5aa71f0ab4117ab3a082c27daa3a6,0.07370023900057276
254,induced,537,0.005,ddb0406fc1b041c7b3011d129aebca6f,0.07363165600054344
255,induced,537,0.005,e0c1b5f2699e44669a1b8c6e609953e4,0.07393901700015704
256,induced,537,0.005,0425782c9757458784bd0de5c5da5adc,0.07381361900024785
257,induced,537,0.005,f9f024919faf4800b2d3ad813c39ef13,0.07501970599969354
258,induced,537,0.005,20e14e11f54e41b6a0cb3ef487144751,0.07393616699937411
259,induced,537,0.005,c9248457278b47d0a85ad19b08660aad,0.07466193399977783
260,induced,499,0.01,1e9dabe01b04487994c78b27660120e5,0.06885964299999614
261,induced,499,0.01,b380477ea019417f961297d909b85100,0.0693870169998263
262,induced,499,0.01,34c5749f0cf3422aaa7f450ed3ffdd4c,0.06991584400020656
263,induced,499,0.01,b56bffe5d9314e6aa53993d8181429da,0.07283245100006752
264,induced,499,0.01,ecc13751cb8946199c2e5c890d534f91,0.10266531300021597
265,induced,499,0.01,10890593b10b4e31829aafb30618a4f8,0.111545863000174
266,induced,499,0.01,e6485fda9c374cf398febcd4133ac2ea,0.08888464499978
267,induced,499,0.01,5e7f0fb5d55e49479e6a34ff78b8451d,0.0750507180000568
268,induced,499,0.01,629989c3bebf4362b8e8497967d3f2b3,0.07107544700011204
269,induced,499,0.01,802d43fcb4f1433dab4003b530326659,0.07074441799977649
270,induced,499,0.01,42c60c7dbc054c19abb8a635646b236e,0.06990433200007828
271,induced,499,0.01,0a45c83aa4144cecb71fd2dae56b37c5,0.07033178200072143
272,induced,499,0.01,b833a582925e4e72a17cbfaf7e9c7890,0.07036547099960444
273,induced,499,0.01,cd6b98a596ba4f8c8b185122791067f0,0.07059424199997011
274,induced,499,0.01,5e320ebcbfcc4fae987615a2d31a29d3,0.07407486700049049
275,induced,499,0.01,5385547cb7484fd892350995da51c071,0.06921975200020825
276,induced,499,0.01,82e8374149e24f919884401660fdc412,0.06954385800054297
277,induced,499,0.01,537b98236e4348b49d546b0bad04e4bd,0.070435544999782
278,induced,499,0.01,70f757917cd047f7b9ffea10bd69604a,0.06956410600014351
279,induced,499,0.01,3860a5122fee4174871d617842162871,0.07059131099958904
280,induced,415,0.02,fac58b5bc5964610b6b258faa42c6647,0.057789555999988806
281,induced,415,0.02,3d16db988feb44c1a516a2553b49843e,0.05817258400020364
282,induced,415,0.02,3e57dcd2db644829a90e36752499863a,0.05780154600051901
283,induced,415,0.02,56fa9c66f0e247c288a2559c9f185910,0.0578406160002487
284,induced,415,0.02,f98e881cd34a40f983f1843fc8562e87,0.05926846900001692
285,induced,415,0.02,38dff601c4bd47ee8873a7c812051e7c,0.0581288189996485
286,induced,415,0.02,2eadece4373f4a868f1724c4a97e4c92,0.05775332399934996
287,induced,415,0.02,9e5e4474608a4572a5c22ce30c4c8a45,0.06022522800049046
288,induced,415,0.02,a28ae44924574e11b761f620280fd8ac,0.05840958499993576
289,induced,415,0.02,8b0e56b1ba4b48b68693b95e6ce185d2,0.05895921699993778
290,induced,415,0.02,7a171c99801e483d93e448b5330e5bc2,0.05763818400009768
