,point_count,repeat,complex_size,0-cells,1-cells,2-cells,reducible_cells,reducible_2-cells,reducible_fraction,reducible_2-cell_fraction,2-cell_fraction
0,10,0,47,10,23,14,26,13,0.5531914893617021,0.9285714285714286,0.2978723404255319
1,20,0,95,20,47,28,36,18,0.37894736842105264,0.6428571428571429,0.29473684210526313
2,50,0,271,50,135,86,100,50,0.36900369003690037,0.5813953488372093,0.3173431734317343
3,100,0,569,100,284,185,212,106,0.37258347978910367,0.572972972972973,0.3251318101933216
4,200,0,1175,200,587,388,444,222,0.3778723404255319,0.5721649484536082,0.3302127659574468
5,500,0,2963,500,1481,982,1074,537,0.362470469119136,0.5468431771894093,0.3314208572392845
6,1000,0,5955,1000,2977,1978,2166,1083,0.36372795969773297,0.5475227502527806,0.33215785054575986
7,2000,0,11947,2000,5973,3974,4132,2066,0.34586088557796935,0.5198792148968294,0.3326358081526743
8,10,1,43,10,21,12,16,8,0.37209302325581395,0.6666666666666666,0.27906976744186046
9,20,1,97,20,48,29,38,19,0.3917525773195876,0.6551724137931034,0.29896907216494845
10,50,1,277,50,138,89,104,52,0.37545126353790614,0.5842696629213483,0.3212996389891697
11,100,1,571,100,285,186,214,107,0.37478108581436076,0.5752688172043011,0.3257443082311734
12,200,1,1175,200,587,388,422,211,0.35914893617021276,0.5438144329896907,0.3302127659574468
13,500,1,2961,500,1480,981,1068,534,0.3606889564336373,0.5443425076452599,0.331306990881459
14,1000,1,5959,1000,2979,1980,2146,1073,0.36012753817754656,0.5419191919191919,0.3322705151871119
15,2000,1,11959,2000,5979,3980,4190,2095,0.35036374278785853,0.5263819095477387,0.33280374613261976
16,10,2,41,10,20,11,14,7,0.34146341463414637,0.6363636363636364,0.2682926829268293
17,20,2,101,20,50,31,40,20,0.39603960396039606,0.6451612903225806,0.3069306930693069
18,50,2,273,50,136,87,98,49,0.358974358974359,0.5632183908045977,0.31868131868131866
19,100,2,573,100,286,187,202,101,0.3525305410122164,0.5401069518716578,0.3263525305410122
20,200,2,1173,200,586,387,436,218,0.37169650468883203,0.5633074935400517,0.329923273657289
21,500,2,2969,500,1484,985,1044,522,0.3516335466487033,0.5299492385786801,0.33176153587066354
22,1000,2,5965,1000,2982,1983,2148,1074,0.3601005867560771,0.5416036308623298,0.3324392288348701
23,2000,2,11961,2000,5980,3981,4204,2102,0.35147562912799934,0.5280080381813614,0.3328317030348633
24,10,3,45,10,22,13,16,8,0.35555555555555557,0.6153846153846154,0.28888888888888886
25,20,3,97,20,48,29,34,17,0.35051546391752575,0.5862068965517241,0.29896907216494845
26,50,3,277,50,138,89,104,52,0.37545126353790614,0.5842696629213483,0.3212996389891697
27,100,3,575,100,287,188,226,113,0.39304347826086955,0.601063829787234,0.3269565217391304
28,200,3,1171,200,585,386,422,211,0.36037574722459437,0.5466321243523317,0.3296327924850555
29,500,3,2967,500,1483,984,1048,524,0.35321873946747556,0.532520325203252,0.3316481294236603
30,1000,3,5965,1000,2982,1983,2146,1073,0.3597652975691534,0.5410993444276349,0.3324392288348701
31,2000,3,11961,2000,5980,3981,4188,2094,0.3501379483320793,0.5259984928409948,0.3328317030348633
32,10,4,41,10,20,11,12,6,0.2926829268292683,0.5454545454545454,0.2682926829268293
33,20,4,99,20,49,30,34,17,0.3434343434343434,0.5666666666666667,0.30303030303030304
34,50,4,267,50,133,84,102,51,0.38202247191011235,0.6071428571428571,0.3146067415730337
35,100,4,571,100,285,186,228,114,0.39929947460595444,0.6129032258064516,0.3257443082311734
36,200,4,1165,200,582,383,416,208,0.35708154506437767,0.5430809399477807,0.32875536480686696
37,500,4,2963,500,1481,982,1052,526,0.3550455619304759,0.5356415478615071,0.3314208572392845
38,1000,4,5953,1000,2976,1977,2034,1017,0.34167646564757265,0.5144157814871017,0.3321014614480094
39,2000,4,11957,2000,5978,3979,4064,2032,0.3398845864347244,0.5106810756471475,0.3327757798778958
40,10,5,41,10,20,11,18,9,0.43902439024390244,0.8181818181818182,0.2682926829268293
41,20,5,101,20,50,31,40,20,0.39603960396039606,0.6451612903225806,0.3069306930693069
42,50,5,275,50,137,88,120,60,0.43636363636363634,0.6818181818181818,0.32
43,100,5,567,100,283,184,212,106,0.37389770723104054,0.5760869565217391,0.32451499118165783
44,200,5,1163,200,581,382,428,214,0.36801375752364573,0.5602094240837696,0.3284608770421324
45,500,5,2967,500,1483,984,1100,550,0.3707448601280755,0.5589430894308943,0.3316481294236603
46,1000,5,5961,1000,2980,1981,2064,1032,0.346250629089079,0.5209490156486623,0.3323267908069116
47,2000,5,11961,2000,5980,3981,4066,2033,0.3399381322631887,0.5106757096206983,0.3328317030348633
48,10,6,41,10,20,11,16,8,0.3902439024390244,0.7272727272727273,0.2682926829268293
49,20,6,97,20,48,29,36,18,0.3711340206185567,0.6206896551724138,0.29896907216494845
50,50,6,281,50,140,91,120,60,0.42704626334519574,0.6593406593406593,0.3238434163701068
51,100,6,569,100,284,185,216,108,0.37961335676625657,0.5837837837837838,0.3251318101933216
52,200,6,1171,200,585,386,464,232,0.3962425277540564,0.6010362694300518,0.3296327924850555
53,500,6,2969,500,1484,985,1094,547,0.36847423374873695,0.5553299492385787,0.33176153587066354
54,1000,6,5967,1000,2983,1984,2140,1070,0.3586391821685939,0.5393145161290323,0.33249539131892075
55,2000,6,11959,2000,5979,3980,4316,2158,0.36089974078100173,0.5422110552763819,0.33280374613261976
56,10,7,41,10,20,11,12,6,0.2926829268292683,0.5454545454545454,0.2682926829268293
57,20,7,101,20,50,31,32,16,0.31683168316831684,0.5161290322580645,0.3069306930693069
58,50,7,279,50,139,90,114,57,0.40860215053763443,0.6333333333333333,0.3225806451612903
59,100,7,577,100,288,189,216,108,0.37435008665511266,0.5714285714285714,0.3275563258232236
60,200,7,1161,200,580,381,428,214,0.3686477174849268,0.5616797900262467,0.3281653746770026
61,500,7,2951,500,1475,976,1036,518,0.3510674347678753,0.5307377049180327,0.33073534395120296
62,1000,7,5969,1000,2984,1985,2062,1031,0.3454514994136371,0.5193954659949622,0.3325515161668621
63,2000,7,11965,2000,5982,3983,4052,2026,0.3386544086920184,0.5086618127039919,0.3328875888006686
64,10,8,47,10,23,14,20,10,0.425531914893617,0.7142857142857143,0.2978723404255319
65,20,8,101,20,50,31,36,18,0.3564356435643564,0.5806451612903226,0.3069306930693069
66,50,8,273,50,136,87,106,53,0.3882783882783883,0.6091954022988506,0.31868131868131866
67,100,8,571,100,285,186,186,93,0.3257443082311734,0.5,0.3257443082311734
68,200,8,1169,200,584,385,420,210,0.3592814371257485,0.5454545454545454,0.32934131736526945
69,500,8,2949,500,1474,975,1034,517,0.35062733129874535,0.5302564102564102,0.3306205493387589
70,1000,8,5961,1000,2980,1981,2070,1035,0.34725717161550074,0.5224634023220596,0.3323267908069116
71,2000,8,11957,2000,5978,3979,4198,2099,0.35109141088901896,0.5275194772555919,0.3327757798778958
72,10,9,43,10,21,12,20,10,0.46511627906976744,0.8333333333333334,0.27906976744186046
73,20,9,99,20,49,30,36,18,0.36363636363636365,0.6,0.30303030303030304
74,50,9,261,50,130,81,86,43,0.32950191570881227,0.5308641975308642,0.3103448275862069
75,100,9,567,100,283,184,190,95,0.3350970017636684,0.5163043478260869,0.32451499118165783
76,200,9,1169,200,584,385,422,211,0.3609923011120616,0.548051948051948,0.32934131736526945
77,500,9,2961,500,1480,981,1034,517,0.3492063492063492,0.527013251783894,0.331306990881459
78,1000,9,5965,1000,2982,1983,2018,1009,0.3383067896060352,0.5088250126071608,0.3324392288348701
79,2000,9,11965,2000,5982,3983,4108,2054,0.3433347262849979,0.5156916896811449,0.3328875888006686
80,10,10,41,10,20,11,10,5,0.24390243902439024,0.45454545454545453,0.2682926829268293
81,20,10,101,20,50,31,40,20,0.39603960396039606,0.6451612903225806,0.3069306930693069
82,50,10,277,50,138,89,124,62,0.44765342960288806,0.6966292134831461,0.3212996389891697
83,100,10,573,100,286,187,190,95,0.33158813263525305,0.5080213903743316,0.3263525305410122
84,200,10,1169,200,584,385,442,221,0.3781009409751925,0.574025974025974,0.32934131736526945
85,500,10,2959,500,1479,980,1056,528,0.35687732342007433,0.5387755102040817,0.33119297059817504
86,1000,10,5963,1000,2981,1982,2208,1104,0.3702834143887305,0.557013118062563,0.3323830286768405
87,2000,10,11957,2000,5978,3979,4194,2097,0.35075687881575646,0.5270168384016084,0.3327757798778958
88,10,11,43,10,21,12,10,5,0.23255813953488372,0.4166666666666667,0.27906976744186046
89,20,11,101,20,50,31,42,21,0.4158415841584158,0.6774193548387096,0.3069306930693069
90,50,11,273,50,136,87,110,55,0.40293040293040294,0.632183908045977,0.31868131868131866
91,100,11,569,100,284,185,222,111,0.39015817223198596,0.6,0.3251318101933216
92,200,11,1167,200,583,384,410,205,0.3513281919451585,0.5338541666666666,0.32904884318766064
93,500,11,2957,500,1478,979,1050,525,0.35508961785593507,0.5362614913176711,0.33107879607710516
94,1000,11,5959,1000,2979,1980,2018,1009,0.3386474240644403,0.5095959595959596,0.3322705151871119
95,2000,11,11955,2000,5977,3978,4140,2070,0.3462986198243413,0.5203619909502263,0.3327478042659975
96,10,12,45,10,22,13,18,9,0.4,0.6923076923076923,0.28888888888888886
97,20,12,99,20,49,30,38,19,0.3838383838383838,0.6333333333333333,0.30303030303030304
98,50,12,279,50,139,90,126,63,0.45161290322580644,0.7,0.3225806451612903
99,100,12,577,100,288,189,214,107,0.3708838821490468,0.5661375661375662,0.3275563258232236
100,200,12,1167,200,583,384,442,221,0.3787489288774636,0.5755208333333334,0.32904884318766064
101,500,12,2965,500,1482,983,1098,549,0.3703204047217538,0.5584944048830112,0.3315345699831366
102,1000,12,5963,1000,2981,1982,2164,1082,0.36290457823243333,0.5459132189707366,0.3323830286768405
103,2000,12,11955,2000,5977,3978,4204,2102,0.3516520284399833,0.5284062342885872,0.3327478042659975
104,10,13,41,10,20,11,12,6,0.2926829268292683,0.5454545454545454,0.2682926829268293
105,20,13,99,20,49,30,42,21,0.42424242424242425,0.7,0.30303030303030304
106,50,13,273,50,136,87,90,45,0.32967032967032966,0.5172413793103449,0.31868131868131866
107,100,13,569,100,284,185,208,104,0.3655536028119508,0.5621621621621622,0.3251318101933216
108,200,13,1167,200,583,384,460,230,0.39417309340188517,0.5989583333333334,0.32904884318766064
109,500,13,2963,500,1481,982,1060,530,0.3577455281808977,0.539714867617108,0.3314208572392845
110,1000,13,5957,1000,2978,1979,2096,1048,0.3518549605506127,0.5295603840323395,0.3322142017794192
111,2000,13,11953,2000,5976,3977,4126,2063,0.3451853091274157,0.5187327131003269,0.3327198192922279
112,10,14,43,10,21,12,16,8,0.37209302325581395,0.6666666666666666,0.27906976744186046
113,20,14,101,20,50,31,36,18,0.3564356435643564,0.5806451612903226,0.3069306930693069
114,50,14,273,50,136,87,110,55,0.40293040293040294,0.632183908045977,0.31868131868131866
115,100,14,571,100,285,186,228,114,0.39929947460595444,0.6129032258064516,0.3257443082311734
116,200,14,1161,200,580,381,430,215,0.37037037037037035,0.5643044619422573,0.3281653746770026
117,500,14,2963,500,1481,982,1060,530,0.3577455281808977,0.539714867617108,0.3314208572392845
118,1000,14,5953,1000,2976,1977,2088,1044,0.3507475222576852,0.5280728376327769,0.3321014614480094
119,2000,14,11961,2000,5980,3981,4176,2088,0.3491346877351392,0.5244913338357197,0.3328317030348633
120,10,15,43,10,21,12,16,8,0.37209302325581395,0.6666666666666666,0.27906976744186046
121,20,15,97,20,48,29,42,21,0.4329896907216495,0.7241379310344828,0.29896907216494845
122,50,15,275,50,137,88,96,48,0.3490909090909091,0.5454545454545454,0.32
123,100,15,567,100,283,184,204,102,0.35978835978835977,0.5543478260869565,0.32451499118165783
124,200,15,1167,200,583,384,394,197,0.337617823479006,0.5130208333333334,0.32904884318766064
125,500,15,2959,500,1479,980,1054,527,0.3562014193984454,0.5377551020408163,0.33119297059817504
126,1000,15,5965,1000,2982,1983,2110,1055,0.3537300922045264,0.5320221886031266,0.3324392288348701
127,2000,15,11959,2000,5979,3980,4090,2045,0.34200183961869723,0.5138190954773869,0.33280374613261976
128,10,16,39,10,19,10,10,5,0.2564102564102564,0.5,0.2564102564102564
129,20,16,97,20,48,29,32,16,0.32989690721649484,0.5517241379310345,0.29896907216494845
130,50,16,275,50,137,88,106,53,0.38545454545454544,0.6022727272727273,0.32
131,100,16,569,100,284,185,220,110,0.3866432337434095,0.5945945945945946,0.3251318101933216
132,200,16,1169,200,584,385,446,223,0.38152266894781867,0.5792207792207792,0.32934131736526945
133,500,16,2961,500,1480,981,1104,552,0.3728470111448835,0.5626911314984709,0.331306990881459
134,1000,16,5957,1000,2978,1979,2104,1052,0.35319791841530973,0.5315816068721576,0.3322142017794192
135,2000,16,11949,2000,5974,3975,4138,2069,0.34630513013641306,0.5205031446540881,0.33266382124027116
136,10,17,45,10,22,13,20,10,0.4444444444444444,0.7692307692307693,0.28888888888888886
137,20,17,103,20,51,32,46,23,0.44660194174757284,0.71875,0.3106796116504854
138,50,17,275,50,137,88,100,50,0.36363636363636365,0.5681818181818182,0.32
139,100,17,575,100,287,188,218,109,0.3791304347826087,0.5797872340425532,0.3269565217391304
140,200,17,1171,200,585,386,460,230,0.3928266438941076,0.5958549222797928,0.3296327924850555
141,500,17,2963,500,1481,982,1032,516,0.34829564630442117,0.5254582484725051,0.3314208572392845
142,1000,17,5963,1000,2981,1982,2096,1048,0.3515009223545195,0.5287588294651867,0.3323830286768405
143,2000,17,11951,2000,5975,3976,4238,2119,0.35461467659610074,0.5329476861167002,0.33269182495188687
144,10,18,45,10,22,13,16,8,0.35555555555555557,0.6153846153846154,0.28888888888888886
145,20,18,97,20,48,29,24,12,0.24742268041237114,0.41379310344827586,0.29896907216494845
146,50,18,279,50,139,90,108,54,0.3870967741935484,0.6,0.3225806451612903
147,100,18,569,100,284,185,234,117,0.4112478031634446,0.6324324324324324,0.3251318101933216
148,200,18,1163,200,581,382,438,219,0.3766122098022356,0.5732984293193717,0.3284608770421324
149,500,18,2953,500,1476,977,1038,519,0.351506942092787,0.5312180143295804,0.3308499830680664
150,1000,18,5965,1000,2982,1983,2152,1076,0.3607711651299246,0.5426122037317196,0.3324392288348701
151,2000,18,11955,2000,5977,3978,4042,2021,0.33810121288163947,0.508044243338361,0.3327478042659975
152,10,19,45,10,22,13,14,7,0.3111111111111111,0.5384615384615384,0.28888888888888886
153,20,19,99,20,49,30,40,20,0.40404040404040403,0.6666666666666666,0.30303030303030304
154,50,19,277,50,138,89,104,52,0.37545126353790614,0.5842696629213483,0.3212996389891697
155,100,19,579,100,289,190,224,112,0.38687392055267705,0.5894736842105263,0.3281519861830743
156,200,19,1175,200,587,388,434,217,0.36936170212765956,0.5592783505154639,0.3302127659574468
157,500,19,2967,500,1483,984,1080,540,0.3640040444893832,0.5487804878048781,0.3316481294236603
158,1000,19,5965,1000,2982,1983,2100,1050,0.3520536462699078,0.529500756429652,0.3324392288348701
159,2000,19,11959,2000,5979,3980,4204,2102,0.3515344092315411,0.5281407035175879,0.33280374613261976
160,10,20,39,10,19,10,8,4,0.20512820512820512,0.4,0.2564102564102564
161,20,20,95,20,47,28,38,19,0.4,0.6785714285714286,0.29473684210526313
162,50,20,277,50,138,89,98,49,0.35379061371841153,0.550561797752809,0.3212996389891697
163,100,20,569,100,284,185,208,104,0.3655536028119508,0.5621621621621622,0.3251318101933216
164,200,20,1167,200,583,384,458,229,0.3924592973436161,0.5963541666666666,0.32904884318766064
165,500,20,2957,500,1478,979,1030,515,0.3483260060872506,0.526046986721144,0.33107879607710516
166,1000,20,5955,1000,2977,1978,2072,1036,0.3479429051217464,0.5237613751263903,0.33215785054575986
167,2000,20,11955,2000,5977,3978,4148,2074,0.3469677959012965,0.5213675213675214,0.3327478042659975
168,10,21,43,10,21,12,10,5,0.23255813953488372,0.4166666666666667,0.27906976744186046
169,20,21,101,20,50,31,40,20,0.39603960396039606,0.6451612903225806,0.3069306930693069
170,50,21,275,50,137,88,112,56,0.4072727272727273,0.6363636363636364,0.32
171,100,21,571,100,285,186,228,114,0.39929947460595444,0.6129032258064516,0.3257443082311734
172,200,21,1169,200,584,385,426,213,0.3644140290846878,0.5532467532467532,0.32934131736526945
173,500,21,2965,500,1482,983,1096,548,0.36964586846543,0.5574771108850458,0.3315345699831366
174,1000,21,5957,1000,2978,1979,2082,1041,0.34950478428739296,0.5260232440626579,0.3322142017794192
175,2000,21,11967,2000,5983,3984,4160,2080,0.34762262889613105,0.5220883534136547,0.3329155176736024
176,10,22,43,10,21,12,16,8,0.37209302325581395,0.6666666666666666,0.27906976744186046
177,20,22,101,20,50,31,44,22,0.43564356435643564,0.7096774193548387,0.3069306930693069
178,50,22,279,50,139,90,102,51,0.3655913978494624,0.5666666666666667,0.3225806451612903
179,100,22,579,100,289,190,220,110,0.3799654576856649,0.5789473684210527,0.3281519861830743
180,200,22,1171,200,585,386,426,213,0.3637916310845431,0.5518134715025906,0.3296327924850555
181,500,22,2961,500,1480,981,1080,540,0.364741641337386,0.5504587155963303,0.331306990881459
182,1000,22,5957,1000,2978,1979,2088,1044,0.3505120026859157,0.5275391611925214,0.3322142017794192
183,2000,22,11957,2000,5978,3979,4154,2077,0.34741155808313123,0.5219904498617743,0.3327757798778958
184,10,23,45,10,22,13,14,7,0.3111111111111111,0.5384615384615384,0.28888888888888886
185,20,23,101,20,50,31,42,21,0.4158415841584158,0.6774193548387096,0.3069306930693069
186,50,23,279,50,139,90,118,59,0.4229390681003584,0.6555555555555556,0.3225806451612903
187,100,23,575,100,287,188,208,104,0.3617391304347826,0.5531914893617021,0.3269565217391304
188,200,23,1167,200,583,384,454,227,0.389031705227078,0.5911458333333334,0.32904884318766064
189,500,23,2965,500,1482,983,1028,514,0.3467116357504216,0.5228891149542217,0.3315345699831366
190,1000,23,5957,1000,2978,1979,2054,1027,0.3448044317609535,0.5189489641232946,0.3322142017794192
191,2000,23,11955,2000,5977,3978,4060,2030,0.33960685905478877,0.510306686777275,0.3327478042659975
192,10,24,45,10,22,13,18,9,0.4,0.6923076923076923,0.28888888888888886
193,20,24,101,20,50,31,30,15,0.297029702970297,0.4838709677419355,0.3069306930693069
194,50,24,275,50,137,88,114,57,0.41454545454545455,0.6477272727272727,0.32
195,100,24,573,100,286,187,242,121,0.4223385689354276,0.6470588235294118,0.3263525305410122
196,200,24,1165,200,582,383,390,195,0.33476394849785407,0.5091383812010444,0.32875536480686696
197,500,24,2961,500,1480,981,1054,527,0.35596082404593044,0.5372069317023446,0.331306990881459
198,1000,24,5963,1000,2981,1982,2048,1024,0.3434512829112863,0.5166498486377397,0.3323830286768405
199,2000,24,11955,2000,5977,3978,4050,2025,0.33877038895859474,0.5090497737556561,0.3327478042659975
